"CPF","NOME","ENDERECO1","ENDERECO2","BAIRRO","CIDADE","ESTADO","CEP","IDADE","SEXO","LIMITE_CREDITO","VOLUME_COMPRA","PRIMEIRA_COMPRA","DT_NASCIMENTO"
"00381353803",FELIPE PERDIGÃO ANDRADE,"PRAÇA SANTOS DUMONT, n.472","AVENIDA GERMANO DIX, n.119",VILA MARIETA,ITAÍ ,GOIÁS,"89832838",37,F,1841.17,3412.2,0,"1987-01-31"
"01129529360",LUARA MARCELA TOMÉ DA SILVA FÉLIX,"CAMINHO DOS BEIJA-FLORES, n.88","ALAMEDA CABRIUVAS, n.210",VILA PROOST DE SOUSA,IBERTIOGA ,RONDÔNIA,"96771158",45,M,4658.6,2915.39,1,"1978-11-08"
"01307433768",DANIELLA OLIVEIRA SILVA,"AVENIDA DOUTOR IVO XAVIER FERREIRA, n.164","ALAMEDA MASCARENHAS DE MORAES, n.429",JARDIM CONCEIÇÃO,ITAGIBÁ ,BAHIA,"21364895",60,F,1159.13,2359.13,0,"1963-07-25"
"01420356482",ALESSANDRA SANTOS OLIVEIRA BERNARDES,"AVENIDA SANTO FERRARI, n.421","AVENIDA DUQUE DE CAXIAS NORTE, n.286",PARQUE DA HÍPICA,ITAIÓPOLIS ,PARANÁ,"53303946",29,F,3333.14,3019.36,0,"1995-04-11"
"03038889107",FERNANDA CRISTINA DA CUNHA,"ALAMEDA DAS SAMAMBAIAS, n.223","PRAÇA CAJUEIROS, n.139",JARDIM PRIMAVERA,BARROSO ,MATO GROSSO DO SUL,"50359872",55,F,2689.78,1825.26,0,"1968-05-04"
"04482353276",TAINARA ANGELA MONTEIRO DA SILVA,"RUA ALÉCIO ADANI, n.20","ESTRADA AGUAÍ-PIRASSUNUNGA SP - 225, n.97",PARQUE OZIEL,JOSÉ GONÇALVES DE MINAS ,PARANÁ,"66329675",36,M,4940.55,378.18,1,"1987-08-14"
"04624723644",SHIRLEI SILVA FELIPE,"PRAÇA PALMEIRAS, n.185","AVENIDA MARGINAL, n.345",JARDIM GUARANI,MOREILÂNDIA ,MATO GROSSO,"84556726",67,M,2183.69,1637.19,1,"1956-10-05"
"04887209425",VALÉRIA GARCIA SILVA,"ALAMEDA DAS CABRIUVAS, n.371","ALAMEDA DAS SAMAMBAIAS, n.445",PARQUE OZIEL,PAULISTAS ,CEARÁ,"33804350",60,F,4381.27,1542.7,1,"1963-07-13"
"04982068881",LUCIANA ANDRE,"ALAMEDA DOS CORIMBATAS, n.463","PRAÇA VIEIRA DE MORAES, n.178",VILA MIMOSA,JAGUAQUARA ,RIO GRANDE DO SUL,"43584700",74,M,1141.0,2408.69,1,"1949-10-11"
"05568427448",ADRIANO SALES DA SILVA,"RUA ACÁCIAS, n.274","ALAMEDA HORTÊNCIAS, n.141",RESIDENCIAL CAMPO FLORIDO,ITACOATIARA ,SERGIPE,"05825884",66,M,2933.51,4698.08,1,"1957-12-10"
"05797054598",CÉLIA REGINA SALMIN,"AVENIDA PRUDENTE DE MORAES, n.414","ALAMEDA DAS ARAUCÁRIAS, n.324",JARDIM BOM RETIRO,ITINGA ,RIO GRANDE DO NORTE,"78719656",49,F,4919.65,1293.43,0,"1974-07-01"
"06230040385",IVANETE JOSÉFA DA SILVA MATOS,"AVENIDA SANTO FERRARI, n.301","PRAÇA CAJUEIROS, n.152",PARQUE SÃO MARTINHO,CATUJI ,TOCANTINS,"35472054",71,F,2348.24,2728.96,0,"1953-04-14"
"06324298433",MIRIÃ CONCEIÇÃO SILVA,"ALAMEDA MASCARENHAS DE MORAES, n.23","AVENIDA CAETANO DENOFRIO, n.363",NOVA CAMPINAS,AJURICABA ,PARANÁ,"77365447",35,M,1144.53,2639.88,1,"1988-08-05"
